"Sport","x","y"
"Canoe Sprint",53.5714285714286,2
"Canoe Sprint",58.6734693877551,11
"Canoe Sprint",63.7755102040816,31
"Canoe Sprint",68.8775510204082,31
"Canoe Sprint",73.9795918367347,27
"Canoe Sprint",79.0816326530612,20
"Canoe Sprint",84.1836734693878,46
"Canoe Sprint",89.2857142857143,31
"Canoe Sprint",94.3877551020408,19
"Canoe Sprint",99.4897959183673,6
"Canoe Sprint",104.591836734694,0
"Canoe Sprint",109.69387755102,2
"Canoe Sprint",114.795918367347,0
"Canoe Sprint",119.897959183673,0
"Canoe Sprint",125,0
"Canoe Sprint",130.102040816327,0
"Canoe Sprint",135.204081632653,0
"Canoe Sprint",140.30612244898,0
"Canoe Sprint",145.408163265306,0
"Canoe Sprint",150.510204081633,0
"Canoe Sprint",155.612244897959,0
"Canoe Sprint",160.714285714286,0
"Canoe Sprint",165.816326530612,0
"Canoe Sprint",170.918367346939,0
"Canoe Sprint",176.020408163265,0
"Canoe Sprint",181.122448979592,0
"Canoe Sprint",186.224489795918,0
"Canoe Sprint",191.326530612245,0
"Canoe Sprint",196.428571428571,0
"Canoe Sprint",201.530612244898,0
"Canoe Sprint",206.632653061224,0
"Canoe Sprint",211.734693877551,0
"Canoe Sprint",216.836734693878,0
"Canoe Sprint",221.938775510204,0
"Canoe Sprint",227.040816326531,0
"Canoe Sprint",232.142857142857,0
"Canoe Sprint",237.244897959184,0
"Canoe Sprint",242.34693877551,0
"Canoe Sprint",247.448979591837,0
"Canoe Sprint",2.55102040816327,0
"Cycling",2.55102040816327,0
"Cycling",7.6530612244898,0
"Cycling",12.7551020408163,0
"Cycling",17.8571428571429,0
"Cycling",22.9591836734694,0
"Cycling",28.0612244897959,0
"Cycling",33.1632653061224,0
"Cycling",38.265306122449,0
"Cycling",43.3673469387755,0
"Cycling",48.469387755102,0
"Cycling",53.5714285714286,1
"Cycling",58.6734693877551,0
"Cycling",63.7755102040816,1
"Cycling",68.8775510204082,1
"Cycling",73.9795918367347,1
"Cycling",79.0816326530612,0
"Cycling",84.1836734693878,0
"Cycling",89.2857142857143,0
"Cycling",94.3877551020408,0
"Cycling",99.4897959183673,0
"Cycling",104.591836734694,0
"Cycling",109.69387755102,0
"Cycling",114.795918367347,0
"Cycling",119.897959183673,0
"Cycling",125,0
"Cycling",130.102040816327,0
"Cycling",135.204081632653,0
"Cycling",140.30612244898,0
"Cycling",145.408163265306,0
"Cycling",150.510204081633,0
"Cycling",155.612244897959,0
"Cycling",160.714285714286,0
"Cycling",165.816326530612,0
"Cycling",170.918367346939,0
"Cycling",176.020408163265,0
"Cycling",181.122448979592,0
"Cycling",186.224489795918,0
"Cycling",191.326530612245,0
"Cycling",196.428571428571,0
"Cycling",201.530612244898,0
"Cycling",206.632653061224,0
"Cycling",211.734693877551,0
"Cycling",216.836734693878,0
"Cycling",221.938775510204,0
"Cycling",227.040816326531,0
"Cycling",232.142857142857,0
"Cycling",237.244897959184,0
"Cycling",242.34693877551,0
"Cycling",247.448979591837,0
"Cycling",2.55102040816327,0
"Cycling - BMX",2.55102040816327,0
"Cycling - BMX",7.6530612244898,0
"Cycling - BMX",12.7551020408163,0
"Cycling - BMX",17.8571428571429,0
"Cycling - BMX",22.9591836734694,0
"Cycling - BMX",28.0612244897959,0
"Cycling - BMX",33.1632653061224,0
"Cycling - BMX",38.265306122449,0
"Cycling - BMX",43.3673469387755,0
"Cycling - BMX",48.469387755102,0
"Cycling - BMX",53.5714285714286,1
"Cycling - BMX",58.6734693877551,2
"Cycling - BMX",63.7755102040816,5
"Cycling - BMX",68.8775510204082,5
"Cycling - BMX",73.9795918367347,4
"Cycling - BMX",79.0816326530612,8
"Cycling - BMX",84.1836734693878,6
"Cycling - BMX",89.2857142857143,10
"Cycling - BMX",94.3877551020408,1
"Cycling - BMX",99.4897959183673,0
"Cycling - BMX",104.591836734694,0
"Cycling - BMX",109.69387755102,0
"Cycling - BMX",114.795918367347,0
"Cycling - BMX",119.897959183673,0
"Cycling - BMX",125,0
"Cycling - BMX",130.102040816327,0
"Cycling - BMX",135.204081632653,0
"Cycling - BMX",140.30612244898,0
"Cycling - BMX",145.408163265306,0
"Cycling - BMX",150.510204081633,0
"Cycling - BMX",155.612244897959,0
"Cycling - BMX",160.714285714286,0
"Cycling - BMX",165.816326530612,0
"Cycling - BMX",170.918367346939,0
"Cycling - BMX",176.020408163265,0
"Cycling - BMX",181.122448979592,0
"Cycling - BMX",186.224489795918,0
"Cycling - BMX",191.326530612245,0
"Cycling - BMX",196.428571428571,0
"Cycling - BMX",201.530612244898,0
"Cycling - BMX",206.632653061224,0
"Cycling - BMX",211.734693877551,0
"Cycling - BMX",216.836734693878,0
"Cycling - BMX",221.938775510204,0
"Cycling - BMX",227.040816326531,0
"Cycling - BMX",232.142857142857,0
"Cycling - BMX",237.244897959184,0
"Cycling - BMX",242.34693877551,0
"Cycling - BMX",247.448979591837,0
"Cycling - BMX",2.55102040816327,0
"Cycling - BMX, Cycling - Track",2.55102040816327,0
"Cycling - BMX, Cycling - Track",7.6530612244898,0
