"","Name","Country","Age","Height","Weight","Sex","Sport","Event","Medals","Gold","Silver","Bronze"
"1665","Darya Pishchalnikova","Russian Federation",27,188,125,"F","Athletics","Women's Discus Throw","YES","","1.00",NA
"1666","Svetlana Saykina","Russian Federation",27,182,90,"F","Athletics","Women's Discus Throw","","","",NA
"1667","Vera Karmishina-Ganeeva","Russian Federation",23,178,105,"F","Athletics","Women's Discus Throw","","","",NA
"1668","Wen-Hua Li","Taipei (Chinese Taipei)",22,180,130,"F","Athletics","Women's Discus Throw","","","",NA
"1669","Kateryna Karsak","Ukraine",26,182,89,"F","Athletics","Women's Discus Throw","","","",NA
"1670","Natalya Fokina-Semenova","Ukraine",30,178,90,"F","Athletics","Women's Discus Throw","","","",NA
"1671","Aretha Thurmond","United States of America",35,180,95,"F","Athletics","Women's Discus Throw","","","",NA
"1672","Gia Lewis-Smallwood","United States of America",33,183,93,"F","Athletics","Women's Discus Throw","","","",NA
"1673","Stephanie Brown Trafton","United States of America",32,193,93,"F","Athletics","Women's Discus Throw","","","",NA
"1674","Jennifer Dahlgren","Argentina",28,180,110,"F","Athletics","Women's Hammer Throw","","","",NA
"1675","Aksana Miankova","Belarus",30,184,81,"F","Athletics","Women's Hammer Throw","","","",NA
"1676","Alena Matoshka","Belarus",30,177,80,"F","Athletics","Women's Hammer Throw","","","",NA
"1677","Heather Steacy","Canada",24,175,80,"F","Athletics","Women's Hammer Throw","","","",NA
"1678","Sultana Frizell","Canada",27,183,110,"F","Athletics","Women's Hammer Throw","","","",NA
"1679","Johana Moreno","Colombia",27,177,93,"F","Athletics","Women's Hammer Throw","","","",NA
"1680","Katerina Safrankova","Czech Republic",23,193,115,"F","Athletics","Women's Hammer Throw","","","",NA
"1681","Merja Korpela","Finland",31,171,85,"F","Athletics","Women's Hammer Throw","","","",NA
"1682","Stephanie Falzon","France",29,168,70,"F","Athletics","Women's Hammer Throw","","","",NA
"1683","Betty Heidler","Germany",28,175,83,"F","Athletics","Women's Hammer Throw","","","",NA
"1684","Kathrin Klaas","Germany",28,168,72,"F","Athletics","Women's Hammer Throw","","","",NA
"1685","Sophie Hitchon","Great Britain",21,170,74,"F","Athletics","Women's Hammer Throw","","","",NA
"1686","Alexandra Papayeoryiou","Greece",31,175,75,"F","Athletics","Women's Hammer Throw","","","",NA
"1687","Eva Orban","Hungary",27,174,80,"F","Athletics","Women's Hammer Throw","","","",NA
"1688","Silvia Salis","Italy",26,179,76,"F","Athletics","Women's Hammer Throw","","","",NA
"1689","Wenxiu Zhang","People's Republic of China",26,182,113,"F","Athletics","Women's Hammer Throw","","","",NA
"1690","Anita Wlodarczyk","Poland",26,178,95,"F","Athletics","Women's Hammer Throw","","","",NA
"1691","Joanna Fiodorow","Poland",23,169,90,"F","Athletics","Women's Hammer Throw","","","",NA
"1692","Vania Silva","Portugal",32,173,80,"F","Athletics","Women's Hammer Throw","","","",NA
"1693","Marina Marghieva","Republic of Moldova",26,186,83,"F","Athletics","Women's Hammer Throw","","","",NA
"1694","Zalina Marghieva","Republic of Moldova",24,171,87,"F","Athletics","Women's Hammer Throw","","","",NA
"1695","Bianca Perie","Romania",22,170,75,"F","Athletics","Women's Hammer Throw","","","",NA
"1696","Gulfiya Khanafeyeva","Russian Federation",30,173,70,"F","Athletics","Women's Hammer Throw","","","",NA
"1697","Mariya Bespalova","Russian Federation",26,183,85,"F","Athletics","Women's Hammer Throw","","","",NA
"1698","Tatyana Lysenko","Russian Federation",28,186,80,"F","Athletics","Women's Hammer Throw","","","",NA
"1699","Amy Sene","Senegal",26,170,65,"F","Athletics","Women's Hammer Throw","","","",NA
"1700","Martina Hrasnova","Slovakia",29,177,80,"F","Athletics","Women's Hammer Throw","","","",NA
"1701","Barbara Spiler","Slovenia",20,184,79,"F","Athletics","Women's Hammer Throw","","","",NA
"1702","Berta Castells","Spain",28,174,78,"F","Athletics","Women's Hammer Throw","","","",NA
"1703","Tugce Sahutoglu","Turkey",24,180,115,"F","Athletics","Women's Hammer Throw","","","",NA
"1704","Hanna Skydan","Ukraine",20,183,114,"F","Athletics","Women's Hammer Throw","","","",NA
"1705","Iryna Novozhylova","Ukraine",26,175,85,"F","Athletics","Women's Hammer Throw","","","",NA
"1706","Amanda Bingson","United States of America",22,165,91,"F","Athletics","Women's Hammer Throw","","","",NA
"1707","Amber Campbell","United States of America",31,170,91,"F","Athletics","Women's Hammer Throw","","","",NA
"1708","Jessica Cosby","United States of America",30,173,79,"F","Athletics","Women's Hammer Throw","","","",NA
"1709","Rosa Rodriguez","Venezuela",26,180,85,"F","Athletics","Women's Hammer Throw","","","",NA
"1710","Yana Maksimava","Belarus",23,180,72,"F","Athletics","Women's Heptathlon","","","",NA
"1711","Sara Aerts","Belgium",28,182,64,"F","Athletics","Women's Heptathlon","","","",NA
"1712","Brianne Theisen","Canada",23,173,64,"F","Athletics","Women's Heptathlon","","","",NA
"1713","Eliska Klucinova","Czech Republic",24,178,69,"F","Athletics","Women's Heptathlon","","","",NA
"1714","Grit Sadeiko","Estonia",23,172,59,"F","Athletics","Women's Heptathlon","","","",NA
"1715","Antoinette Nana Djimou Ida","France",27,171,63,"F","Athletics","Women's Heptathlon","","","",NA
"1716","Marisa de Aniceto","France",25,162,52,"F","Athletics","Women's Heptathlon","","","",NA
"1717","Jennifer Oeser","Germany",28,176,67,"F","Athletics","Women's Heptathlon","","","",NA
"1718","Julia Machtig","Germany",26,187,80,"F","Athletics","Women's Heptathlon","","","",NA
"1719","Lilli Schwarzkopf","Germany",28,174,64,"F","Athletics","Women's Heptathlon","YES","","1.00",NA
"1720","Margaret Simpson","Ghana",30,162,59,"F","Athletics","Women's Heptathlon","","","",NA
"1721","Katarina Johnson-Thompson","Great Britain",19,183,68,"F","Athletics","Women's Heptathlon","","","",NA
"1722","Louise Hazel","Great Britain",26,167,58,"F","Athletics","Women's Heptathlon","","","",NA
"1723","Sofia Ifadidou","Greece",27,164,52,"F","Athletics","Women's Heptathlon","","","",NA
"1724","Gyorgyi Farkas","Hungary",27,170,59,"F","Athletics","Women's Heptathlon","","","",NA
"1725","Irina Karpova","Kazakhstan",32,177,60,"F","Athletics","Women's Heptathlon","","","",NA
"1726","Aiga Grabuste","Latvia",24,178,55,"F","Athletics","Women's Heptathlon","","","",NA
"1727","Laura Ikauniece","Latvia",20,179,60,"F","Athletics","Women's Heptathlon","","","",NA
"1728","Austra Skujyte","Lithuania",32,188,77,"F","Athletics","Women's Heptathlon","","","",NA
"1729","Nadine Broersen","Netherlands",22,171,63,"F","Athletics","Women's Heptathlon","","","",NA
"1730","Sarah Cowley","New Zealand",28,176,67,"F","Athletics","Women's Heptathlon","","","",NA
"1731","Karolina Tyminska","Poland",27,175,69,"F","Athletics","Women's Heptathlon","","","",NA
"1732","Kristina Savitskaya","Russian Federation",21,180,72,"F","Athletics","Women's Heptathlon","","","LANGEHANENBERG",NA
"1733","Olga Kurban","Russian Federation",24,173,63,"F","Athletics","Women's Heptathlon","","","",NA
"1734","Tatyana Chernova","Russian Federation",24,190,70,"F","Athletics","Women's Heptathlon","YES","","",1
"1735","Jessica Samuelsson","Sweden",27,176,67,"F","Athletics","Women's Heptathlon","","","",NA
"1736","Hanna Melnychenko","Ukraine",29,178,67,"F","Athletics","Women's Heptathlon","","","",NA
"1737","Lyudmyla Yosypenko","Ukraine",27,175,69,"F","Athletics","Women's Heptathlon","","","",NA
"1738","Natallia Dobrynska","Ukraine",30,180,72,"F","Athletics","Women's Heptathlon","","","",NA
"1739","Chantae McMillan","United States of America",24,173,69,"F","Athletics","Women's Heptathlon","","","",NA
"1740","Hyleas Fountain","United States of America",31,170,64,"F","Athletics","Women's Heptathlon","","","",NA
"1741","Sharon Day","United States of America",27,180,73,"F","Athletics","Women's Heptathlon","","","",NA
"1742","Tia Hellebaut","Belgium",34,182,62,"F","Athletics","Women's High Jump","","","",NA
"1743","Venelina Veneva-Mateeva","Bulgaria",38,178,57,"F","Athletics","Women's High Jump","","","",NA
"1744","Ana Simic","Croatia",22,177,58,"F","Athletics","Women's High Jump","","","",NA
"1745","Oldriska Maresova","Czech Republic",25,189,69,"F","Athletics","Women's High Jump","","","",NA
"1746","Anna Iljustsenko","Estonia",26,168,48,"F","Athletics","Women's High Jump","","","",NA
"1747","Melanie Melfort","France",29,182,57,"F","Athletics","Women's High Jump","","","",NA
"1748","Ariane Friedrich","Germany",28,179,57,"F","Athletics","Women's High Jump","","","",NA
"1749","Adonia Steryiou","Greece",27,180,59,"F","Athletics","Women's High Jump","","","",NA
"1750","Deirdre Ryan","Ireland",30,183,63,"F","Athletics","Women's High Jump","","","",NA
"1751","Marina Aitova","Kazakhstan",29,178,59,"F","Athletics","Women's High Jump","","","",NA
"1752","Airine Palsyte","Lithuania",20,186,62,"F","Athletics","Women's High Jump","","","",NA
"1753","Doreen Amata","Nigeria",24,198,54,"F","Athletics","Women's High Jump","","","",NA
"1754","Esthera Petre","Romania",22,180,57,"F","Athletics","Women's High Jump","","","",NA
"1755","Anna Chicherova","Russian Federation",30,180,56,"F","Athletics","Women's High Jump","","","",NA
"1756","Irina Gordeeva","Russian Federation",25,185,55,"F","Athletics","Women's High Jump","","","",NA
"1757","Svetlana Shkolina","Russian Federation",26,187,61,"F","Athletics","Women's High Jump","","","",NA
"1758","Levern Spencer","Saint Lucia",28,155,52,"F","Athletics","Women's High Jump","","","",NA
"1759","Lissa Labiche","Seychelles",19,172,57,"F","Athletics","Women's High Jump","","","",NA
"1760","Ruth Beitia","Spain",33,191,72,"F","Athletics","Women's High Jump","","","",NA
"1761","Ebba Jungmark","Sweden",25,179,57,"F","Athletics","Women's High Jump","","","",NA
"1762","Emma Green Tregaro","Sweden",27,180,63,"F","Athletics","Women's High Jump","","","",NA
"1763","Wanida Boonwan","Thailand",25,165,53,"F","Athletics","Women's High Jump","","","",NA
"1764","Burcu Ayhan","Turkey",22,180,59,"F","Athletics","Women's High Jump","","","",NA
"1765","Olena Holosha","Ukraine",30,186,60,"F","Athletics","Women's High Jump","","","",NA
"1766","Amy Acuff","United States of America",37,188,66,"F","Athletics","Women's High Jump","","","",NA
"1767","Brigetta Barrett","United States of America",21,183,64,"F","Athletics","Women's High Jump","","","",NA
"1768","Chaunte Lowe","United States of America",28,175,60,"F","Athletics","Women's High Jump","","","",NA
"1769","Thi Viet Anh Duong","Vietnam",21,160,55,"F","Athletics","Women's High Jump","","","",NA
"1770","Kristine Harutyunyan","Armenia",21,168,62,"F","Athletics","Women's Javelin Throw","","","",NA
"1771","Kathryn Mitchell","Australia",30,168,72,"F","Athletics","Women's Javelin Throw","","","",NA
"1772","Kimberley Mickle","Australia",27,166,70,"F","Athletics","Women's Javelin Throw","","","",NA
"1773","Elisabeth Eberl","Austria",24,170,69,"F","Athletics","Women's Javelin Throw","","","",NA
"1774","Maryna Novik","Belarus",28,167,68,"F","Athletics","Women's Javelin Throw","","","",NA
"1775","Elizabeth Gleadle","Canada",23,185,84,"F","Athletics","Women's Javelin Throw","","","",NA
"1776","Flor Ruiz","Colombia",21,171,67,"F","Athletics","Women's Javelin Throw","","","",NA
"1777","Barbora Spotakova","Czech Republic",31,182,80,"F","Athletics","Women's Javelin Throw","YES","1.000000","",NA
"1778","Jarmila Klimesova","Czech Republic",31,173,75,"F","Athletics","Women's Javelin Throw","","","",NA
"1779","Christina Obergfoll","Germany",30,175,80,"F","Athletics","Women's Javelin Throw","YES","","1",NA
"1780","Kathrina Molitor","Germany",28,183,77,"F","Athletics","Women's Javelin Throw","","","",NA
"1781","Linda Stahl","Germany",26,175,78,"F","Athletics","Women's Javelin Throw","YES","","",1
"1782","Goldie Sayers","Great Britain",30,171,70,"F","Athletics","Women's Javelin Throw","","","",NA
"1783","Savva Lika","Greece",42,168,73,"F","Athletics","Women's Javelin Throw","","","",NA
"1784","Vanda Juhasz","Hungary",23,172,71,"F","Athletics","Women's Javelin Throw","","","",NA
"1785","Yuki Ebihara","Japan",26,164,66,"F","Athletics","Women's Javelin Throw","","","",NA
"1786","Lina Muze","Latvia",19,182,75,"F","Athletics","Women's Javelin Throw","","","",NA
"1787","Madara Palameika","Latvia",25,183,76,"F","Athletics","Women's Javelin Throw","","","",NA
"1788","Indre Jakubaityte","Lithuania",36,176,73,"F","Athletics","Women's Javelin Throw","","","",NA
"1789","Leryn Franco","Paraguay",30,172,57,"F","Athletics","Women's Javelin Throw","","","",NA
"1790","Huihui Lu","People's Republic of China",23,171,68,"F","Athletics","Women's Javelin Throw","","","",NA
"1791","Li Zhang","People's Republic of China",23,170,62,"F","Athletics","Women's Javelin Throw","","","",NA
"1792","Lingwei Li","People's Republic of China",23,174,70,"F","Athletics","Women's Javelin Throw","","","",NA
"1793","Maria Abakumova","Russian Federation",26,178,85,"F","Athletics","Women's Javelin Throw","","","",NA
"1794","Tatjana Jelaca","Serbia",21,179,85,"F","Athletics","Women's Javelin Throw","","","",NA
"1795","Martina Ratej","Slovenia",30,178,78,"F","Athletics","Women's Javelin Throw","","","",NA
"1796","Sunette Viljoen","South Africa",28,170,70,"F","Athletics","Women's Javelin Throw","","","",NA
"1797","Nora Aida Bicet","Spain",34,176,96,"F","Athletics","Women's Javelin Throw","","","",NA
"1798","Hanna Hatsko","Ukraine",21,175,70,"F","Athletics","Women's Javelin Throw","","","",NA
"1799","Marharyta Dorozhon","Ukraine",24,180,75,"F","Athletics","Women's Javelin Throw","","","",NA
"1800","Vira Rebryk","Ukraine",23,178,68,"F","Athletics","Women's Javelin Throw","","","",NA
"1801","Brittany Borman","United States of America",23,180,78,"F","Athletics","Women's Javelin Throw","","","",NA
"1802","Kara Patterson","United States of America",26,183,84,"F","Athletics","Women's Javelin Throw","","","",NA
"1803","Rachel Yurkovich","United States of America",25,180,70,"F","Athletics","Women's Javelin Throw","","","",NA
"1804","Anastasiya Svechnikova","Uzbekistan",19,169,68,"F","Athletics","Women's Javelin Throw","","","",NA
"1805","Yusbelys Parra","Venezuela",26,170,65,"F","Athletics","Women's Javelin Throw","","","",NA
"1806","Nastassia Mironchyk - Ivanova","Belarus",23,171,53,"F","Athletics","Women's Long Jump","","","",NA
"1807","Veronika Shutkova","Belarus",26,172,56,"F","Athletics","Women's Long Jump","","","",NA
"1808","Volha Sudarava","Belarus",28,177,62,"F","Athletics","Women's Long Jump","","","",NA
"1809","Arantxa King","Bermuda",22,175,65,"F","Athletics","Women's Long Jump","","","",NA
"1810","Maurren Higa Maggi","Brazil",36,173,61,"F","Athletics","Women's Long Jump","","","",NA
"1811","Eloyse Lesueur","France",24,176,64,"F","Athletics","Women's Long Jump","","","",NA
"1812","Maiko Gogoladze","Georgia",20,166,58,"F","Athletics","Women's Long Jump","","","",NA
"1813","Sostene Moguenara","Germany",22,180,66,"F","Athletics","Women's Long Jump","","","",NA
"1814","Shara Proctor","Great Britain",23,165,60,"F","Athletics","Women's Long Jump","","","",NA
"1815","Lauma Griva","Latvia",27,181,62,"F","Athletics","Women's Long Jump","","","",NA
"1816","Viorica Tigau","Romania",32,172,64,"F","Athletics","Women's Long Jump","","","",NA
"1817","Anna Nazarova","Russian Federation",26,172,58,"F","Athletics","Women's Long Jump","","","",NA
"1818","Elena Sokolova","Russian Federation",26,170,61,"F","Athletics","Women's Long jump","YES","","1",NA
"1819","Lyudmila Kolchanova","Russian Federation",32,175,64,"F","Athletics","Women's Long Jump","","","",NA
"1820","Ivana Spanovic","Serbia",22,175,64,"F","Athletics","Women's Long Jump","","","",NA
"1821","Ola Sesay","Sierra Leone",33,176,64,"F","Athletics","Women's Long Jump","","","",NA
"1822","Jana Veldakova","Slovakia",31,178,60,"F","Athletics","Women's Long Jump","","","",NA
"1823","Concepcion Montaner","Spain",31,172,59,"F","Athletics","Women's Long Jump","","","",NA
"1824","Irene Pusterla","Switzerland",24,176,64,"F","Athletics","Women's Long Jump","","","",NA
"1825","Karin Mey Melis","Turkey",29,171,60,"F","Athletics","Women's Long Jump","","","",NA
"1826","Marharyta Tverdohlib","Ukraine",21,179,70,"F","Athletics","Women's Long Jump","","","",NA
"1827","Viktoriya Rybalko","Ukraine",29,180,63,"F","Athletics","Women's Long Jump","","","",NA
"1828","Brittney Reese","United States of America",25,173,62,"F","Athletics","Women's Long Jump","YES","1.000000","",NA
"1829","Chelsea Hayes","United States of America",24,152,58,"F","Athletics","Women's Long Jump","","","",NA
"1830","Janay Deloach","United States of America",26,165,59,"F","Athletics","Women's Long Jump","YES","","",1
"1831","Yuliya Tarasova","Uzbekistan",26,174,66,"F","Athletics","Women's Long Jump","","","",NA
"1832","Caterine Ibarguen","Colombia",28,180,70,"F","Athletics","Women's Long Jump, Women's Triple Jump","YES","","1",NA
"1833","Souad Ait Salem","Algeria",33,167,50,"F","Athletics","Women's Marathon","","","",NA
"1834","Maria Peralta","Argentina",34,167,49,"F","Athletics","Women's Marathon","","","",NA
"1835","Benita Willis","Australia",33,166,50,"F","Athletics","Women's Marathon","","","",NA
"1836","Jessica Trengove","Australia",24,165,50,"F","Athletics","Women's Marathon","","","",NA
"1837","Lisa Jane Weightman","Australia",33,157,44,"F","Athletics","Women's Marathon","","","",NA
"1838","Andrea Mayr","Austria",32,175,54,"F","Athletics","Women's Marathon","","","",NA
"1839","Lishan Dula","Bahrain",25,164,44,"F","Athletics","Women's Marathon","","","",NA
"1840","Nastassia Staravoitava","Belarus",29,163,50,"F","Athletics","Women's Marathon","","","",NA
"1841","Olga Dubovskaya","Belarus",28,170,52,"F","Athletics","Women's Marathon","","","",NA
"1842","Sviatlana Kouhan","Belarus",31,163,51,"F","Athletics","Women's Marathon","","","",NA
"1843","Lucia Kimani","Bosnia and Herzegovina",31,166,45,"F","Athletics","Women's Marathon","","","",NA
"1844","Diane Nukuri","Burundi",27,186,59,"F","Athletics","Women's Marathon","","","",NA
"1845","Erika Olivera","Chile",36,165,55,"F","Athletics","Women's Marathon","","","",NA
"1846","Natalia Romero","Chile",32,162,55,"F","Athletics","Women's Marathon","","","",NA
"1847","Erika Abril","Colombia",34,158,47,"F","Athletics","Women's Marathon","","","",NA
"1848","Yolanda Caballero","Colombia",30,155,46,"F","Athletics","Women's Marathon","","","",NA
"1849","Gabriela Trana","Costa Rica",32,164,50,"F","Athletics","Women's Marathon","","","",NA
"1850","Ivana Sekyrova","Czech Republic",40,172,51,"F","Athletics","Women's Marathon","","","",NA
"1851","Kum-Ok Kim","Democratic People's Republic  of Korea",23,160,48,"F","Athletics","Women's Marathon","","","",NA
"1852","Kyong-Hui Jon","Democratic People's Republic  of Korea",25,162,51,"F","Athletics","Women's Marathon","","","",NA
"1853","Mi-Gyong Kim","Democratic People's Republic  of Korea",20,160,50,"F","Athletics","Women's Marathon","","","",NA
"1854","Juventina Napoleao","Democratic Republic of Timor-Leste",23,154,48,"F","Athletics","Women's Marathon","","","",NA
"1855","Jessica Draskau-Petersson","Denmark",34,170,63,"F","Athletics","Women's Marathon","","","",NA
"1856","Rosa Chacha","Ecuador",29,155,45,"F","Athletics","Women's Marathon","","","",NA
"1857","Rehaset Mehari","Eritrea",23,165,51,"F","Athletics","Women's Marathon","","","",NA
"1858","Evelin Talts","Estonia",35,158,54,"F","Athletics","Women's Marathon","","","",NA
"1859","Aselefech Mergia","Ethiopia",27,168,50,"F","Athletics","Women's Marathon","","","",NA
"1860","Mare Dibaba","Ethiopia",22,151,38,"F","Athletics","Women's Marathon","","","",NA
"1861","Tiki Gelana","Ethiopia",24,165,48,"F","Athletics","Women's Marathon","YES","1.000000","",NA
"1862","Leena Puotiniemi","Finland",36,170,52,"F","Athletics","Women's Marathon","","","",NA
"1863","Irina Mikitenko","Germany",39,161,48,"F","Athletics","Women's Marathon","","","",NA
"1864","Susanne Hahn","Germany",34,169,50,"F","Athletics","Women's Marathon","","","",NA
"1865","Claire Hallissey","Great Britain",29,164,48,"F","Athletics","Women's Marathon","","","",NA
"1866","Freya Murray","Great Britain",28,158,44,"F","Athletics","Women's Marathon","","","",NA
"1867","Mara Yamauchi","Great Britain",38,162,51,"F","Athletics","Women's Marathon","","","",NA
"1868","Konstadina Kefala","Greece",34,170,56,"F","Athletics","Women's Marathon","","","",NA
"1869","Aniko Kalovics","Hungary",35,175,58,"F","Athletics","Women's Marathon","","","",NA
"1870","Beata Rakonczai","Hungary",35,170,56,"F","Athletics","Women's Marathon","","","",NA
"1871","Ava Hutchinson","Ireland",29,165,51,"F","Athletics","Women's Marathon","","","",NA
"1872","Caitriona Jennings","Ireland",32,163,53,"F","Athletics","Women's Marathon","","","",NA
"1873","Linda Byrne","Ireland",26,163,50,"F","Athletics","Women's Marathon","","","",NA
"1874","Anna Incerti","Italy",32,168,45,"F","Athletics","Women's Marathon","","","",NA
"1875","Rosaria Console","Italy",32,166,50,"F","Athletics","Women's Marathon","","","",NA
"1876","Risa Shigetomo","Japan",24,168,50,"F","Athletics","Women's Marathon","","","",NA
"1877","Ryoko Kizaki","Japan",27,157,43,"F","Athletics","Women's Marathon","","","",NA
"1878","Edna Ngeringwony Kiplagat","Kenya",32,162,50,"F","Athletics","Women's Marathon","","","",NA
"1879","Mary Jepkosgei Keitany","Kenya",30,NA,42,"F","Athletics","Women's Marathon","","","",NA
"1880","Priscah Jeptoo","Kenya",28,165,49,"F","Athletics","Women's Marathon","YES","","1",NA
"1881","Iuliia Andreeva","Kyrgyzstan",28,168,58,"F","Athletics","Women's Marathon","","","",NA
"1882","Dace Lina","Latvia",30,162,53,"F","Athletics","Women's Marathon","","","",NA
"1883","Diana Lobacevske","Lithuania",31,175,61,"F","Athletics","Women's Marathon","","","",NA
"1884","Rasa Drazdauskaite","Lithuania",31,174,61,"F","Athletics","Women's Marathon","","","",NA
"1885","Remalda Kergyte","Lithuania",26,173,56,"F","Athletics","Women's Marathon","","","",NA
"1886","Karina Perez","Mexico",29,158,44,"F","Athletics","Women's Marathon","","","",NA
"1887","Madai Perez","Mexico",32,158,45,"F","Athletics","Women's Marathon","","","",NA
"1888","Marisol Romero","Mexico",29,155,46,"F","Athletics","Women's Marathon","","","",NA
"1889","Otgonbayar Luvsanlundeg","Mongolia",30,152,44,"F","Athletics","Women's Marathon","","","",NA
"1890","Sladana Perunovic","Montenegro",28,167,54,"F","Athletics","Women's Marathon","","","",NA
"1891","Soumiya Labani","Morocco",37,168,54,"F","Athletics","Women's Marathon","","","",NA
"1892","Ni Lar San","Myanmar",27,160,50,"F","Athletics","Women's Marathon","","","",NA
"1893","Beata Naigambo","Namibia",32,160,48,"F","Athletics","Women's Marathon","","","",NA
"1894","Helalia Johannes","Namibia",31,165,45,"F","Athletics","Women's Marathon","","","",NA
"1895","Hilda Kibet","Netherlands",31,168,46,"F","Athletics","Women's Marathon","","","",NA
"1896","Lornah Kiplagat","Netherlands",38,167,48,"F","Athletics","Women's Marathon","","","",NA
"1897","Kimberley Smith","New Zealand",30,166,48,"F","Athletics","Women's Marathon","","","",NA
"1898","Jiali Wang","People's Republic of China",26,160,50,"F","Athletics","Women's Marathon","","","",NA
"1899","Gladys Tejeda","Peru",26,162,46,"F","Athletics","Women's Marathon","","","",NA
"1900","Ines Melchor","Peru",25,158,55,"F","Athletics","Women's Marathon","","","",NA
"1901","Wilma Arizapana","Peru",29,164,54,"F","Athletics","Women's Marathon","","","",NA
"1902","Karolina Jarzynska","Poland",30,164,53,"F","Athletics","Women's Marathon","","","",NA
"1903","Jessica Augusto","Portugal",30,164,44,"F","Athletics","Women's Marathon","","","",NA
"1904","Marisa Barros","Portugal",32,160,50,"F","Athletics","Women's Marathon","","","",NA
"1905","Kyung-Hee Lim","Republic of Korea",29,165,45,"F","Athletics","Women's Marathon","","","",NA
"1906","Seongeun Kim","Republic of Korea",23,164,47,"F","Athletics","Women's Marathon","","","",NA
"1907","Yunhee Chung","Republic of Korea",29,159,43,"F","Athletics","Women's Marathon","","","",NA
"1908","Natalia Cerches","Republic of Moldova",36,170,55,"F","Athletics","Women's Marathon","","","",NA
"1909","Constantina Dita","Romania",42,160,48,"F","Athletics","Women's Marathon","","","",NA
"1910","Lidia Simon","Romania",38,160,45,"F","Athletics","Women's Marathon","","","",NA
"1911","Albina Mayorova","Russian Federation",35,167,50,"F","Athletics","Women's Marathon","","","",NA
"1912","Liliya Shobukhova","Russian Federation",34,169,50,"F","Athletics","Women's Marathon","","","",NA
"1913","Tatyana Petrova Arkhipova","Russian Federation",29,159,49,"F","Athletics","Women's Marathon","YES","","",1
"1914","Claudette Mukasakindi","Rwanda",29,160,50,"F","Athletics","Women's Marathon","","","",NA
"1915","Ana Subotic","Serbia",28,171,54,"F","Athletics","Women's Marathon","","","",NA
"1916","Olivera Jevtic","Serbia",35,174,51,"F","Athletics","Women's Marathon","","","",NA
"1917","Katarina Beresova","Slovakia",24,163,47,"F","Athletics","Women's Marathon","","","",NA
"1918","Zana Jereb","Slovenia",28,172,56,"F","Athletics","Women's Marathon","","","",NA
"1919","Irvette van Blerk","South Africa",25,169,54,"F","Athletics","Women's Marathon","","","",NA
"1920","Rene Kalmer","South Africa",31,178,49,"F","Athletics","Women's Marathon","","","",NA
"1921","Tanith Maxwell","South Africa",36,169,53,"F","Athletics","Women's Marathon","","","",NA
"1922","Alessandra Aguilar","Spain",34,165,50,"F","Athletics","Women's Marathon","","","",NA
"1923","Maria Elena Espeso","Spain",39,161,48,"F","Athletics","Women's Marathon","","","",NA
"1924","Vanessa Veiga","Spain",33,159,43,"F","Athletics","Women's Marathon","","","",NA
"1925","Isabellah Andersson","Sweden",31,170,55,"F","Athletics","Women's Marathon","","","",NA
"1926","Maja Neuenschwander","Switzerland",32,168,55,"F","Athletics","Women's Marathon","","","",NA
"1927","Amira Ben Amor","Tunisia",26,168,49,"F","Athletics","Women's Marathon","","","",NA
"1928","Bahar Dogan","Turkey",37,158,48,"F","Athletics","Women's Marathon","","","",NA
"1929","Sultan Haydar","Turkey",25,170,55,"F","Athletics","Women's Marathon","","","",NA
"1930","Ummu Kiraz","Turkey",29,162,48,"F","Athletics","Women's Marathon","","","",NA
"1931","Jane Suuto","Uganda",33,176,58,"F","Athletics","Women's Marathon","","","",NA
"1932","Olena Burkovska","Ukraine",30,158,50,"F","Athletics","Women's Marathon","","","",NA
"1933","Tetyana Filonyuk","Ukraine",28,167,48,"F","Athletics","Women's Marathon","","","",NA
"1934","Tetyana Gamera-Shmyrko","Ukraine",29,165,52,"F","Athletics","Women's Marathon","","","",NA
"1935","Desiree Davila","United States of America",29,155,44,"F","Athletics","Women's Marathon","","","",NA
"1936","Kara Goucher","United States of America",34,170,56,"F","Athletics","Women's Marathon","","","",NA
"1937","Shalane Flanagan","United States of America",31,165,48,"F","Athletics","Women's Marathon","","","",NA
"1938","Yolimar Pineda","Venezuela",26,160,57,"F","Athletics","Women's Marathon","","","",NA
"1939","Ana Dulce Felix","Portugal",29,165,52,"F","Athletics","Women's Marathon, Women's 10,000m","","","",NA
"1940","Alana Boyd","Australia",28,171,59,"F","Athletics","Women's Pole Vault","","","",NA
"1941","Liz Parnov","Australia",18,177,57,"F","Athletics","Women's Pole Vault","","","",NA
"1942","Anastasiya Shvedova","Belarus",33,174,62,"F","Athletics","Women's Pole Vault","","","",NA
"1943","Melanie Blouin","Canada",22,175,64,"F","Athletics","Women's Pole Vault","","","",NA
"1944","Jirina Ptacnikova","Czech Republic",26,174,69,"F","Athletics","Women's Pole Vault","","","",NA
"1945","Caroline Bonde Holm","Denmark",22,178,68,"F","Athletics","Women's Pole Vault","","","",NA
"1946","Minna Nikkanen","Finland",24,169,53,"F","Athletics","Women's Pole Vault","","","",NA
"1947","Marion Lotout","France",22,165,50,"F","Athletics","Women's Pole Vault","","","",NA
"1948","Vanessa Boslak","France",30,170,62,"F","Athletics","Women's Pole Vault","","","",NA
"1949","Lisa Ryzih","Germany",23,179,60,"F","Athletics","Women's Pole Vault","","","",NA
